Home Team,Home xG,Away xG,Away Team
Southampton,1.12,2.25,Leicester
Manchester United,1.24,0.82,Bournemouth
West Ham,0.41,1.02,Arsenal
Liverpool,2.14,0.52,West Bromwich Albion
Tottenham,1.87,0.32,Brighton
Leicester,0.76,2.26,Crystal Palace
Arsenal,2.02,0.29,Newcastle United
Brighton,1.49,1.33,Burnley
Chelsea,1.29,0.59,Southampton
Watford,0.59,3.49,Huddersfield
Stoke,0.98,3.08,West Ham
Manchester City,4.15,0.18,Tottenham
West Bromwich Albion,1.08,0.9,Manchester United
Bournemouth,0.54,3.25,Liverpool
Everton,2.02,0.77,Swansea
Arsenal,1.13,2.06,Liverpool
Everton,0.34,1.85,Chelsea
Swansea,0.55,1.26,Crystal Palace
West Ham,2.32,1.91,Newcastle United
Brighton,1.4,1.3,Watford
Stoke,1.8,2.05,West Bromwich Albion
Southampton,1.74,1.09,Huddersfield
Manchester City,1.56,0.33,Bournemouth
Burnley,0.16,3.31,Tottenham
Leicester,1.56,2.15,Manchester United
Tottenham,3.08,0.59,Southampton
Bournemouth,2.85,1.88,West Ham
Chelsea,2.17,0.45,Brighton
Huddersfield,1.88,1.2,Stoke
Manchester United,1.81,0.79,Burnley
Watford,1.43,1.55,Leicester
West Bromwich Albion,1.18,0.41,Everton
Liverpool,3.06,0.27,Swansea
Newcastle United,0.17,1.93,Manchester City
Crystal Palace,1.15,1.84,Arsenal
Bournemouth,1.4,0.6,Everton
Chelsea,3.1,0.28,Stoke
Huddersfield,0.05,1.21,Burnley
Liverpool,2.57,0.79,Leicester
Newcastle United,0.5,0.63,Brighton
Watford,1.18,1.31,Swansea
Manchester United,1.87,0.85,Southampton
Crystal Palace,1.72,1.1,Manchester City
West Bromwich Albion,1.39,0.92,Arsenal
Brighton,2.37,1.28,Bournemouth
Burnley,0.9,1.63,Liverpool
Leicester,1.45,0.23,Huddersfield
Stoke,1.5,2.02,Newcastle United
Everton,1.24,1.26,Manchester United
West Ham,1.06,0.64,West Bromwich Albion
Southampton,0.45,1.34,Crystal Palace
Swansea,0.4,1.62,Tottenham
Manchester City,2.77,0.97,Watford
Arsenal,1.23,3.08,Chelsea
Tottenham,1.65,0.61,West Ham
Chelsea,0.62,1.36,Leicester
Crystal Palace,1.81,0.91,Burnley
Huddersfield,0.68,0.99,West Ham
Newcastle United,1.83,0.9,Swansea
Watford,1.67,0.86,Southampton
West Bromwich Albion,1.38,0.53,Brighton
Tottenham,4.21,0.29,Everton
Bournemouth,0.82,1.01,Arsenal
Liverpool,1.02,0.72,Manchester City
Manchester United,1.95,1.48,Stoke
Brighton,0.88,1.52,Chelsea
Arsenal,3.57,0.5,Crystal Palace
Burnley,0.57,0.86,Manchester United
Everton,0.92,1.35,West Bromwich Albion
Leicester,1.52,0.74,Watford
Stoke,0.99,0.24,Huddersfield
West Ham,0.98,0.5,Bournemouth
Manchester City,2.55,0.99,Newcastle United
Southampton,1.15,1.31,Tottenham
Swansea,0.5,2.2,Liverpool
West Ham,1.12,1.16,Crystal Palace
Swansea,2.38,1.16,Arsenal
Huddersfield,0.29,2.05,Liverpool
Chelsea,1.15,1.42,Bournemouth
Southampton,1.27,1.08,Brighton
Newcastle United,2.52,1.23,Burnley
Everton,1.53,2.65,Leicester
Manchester City,2.69,0.12,West Bromwich Albion
Tottenham,2.01,0.82,Manchester United
Stoke,0.72,0.74,Watford
Burnley,0.8,2.54,Manchester City
Bournemouth,1.7,0.7,Stoke
Brighton,1.65,0.44,West Ham
Leicester,1.64,0.48,Swansea
Manchester United,1.54,0.13,Huddersfield
West Bromwich Albion,0.9,0.92,Southampton
Arsenal,3.17,1.2,Everton
Crystal Palace,2.93,1.05,Newcastle United
Liverpool,1.31,2.54,Tottenham
Watford,2.13,0.57,Chelsea
Tottenham,2.64,0.49,Arsenal
Everton,1.49,1.66,Crystal Palace
Stoke,1.4,0.9,Brighton
Swansea,0.84,0.43,Burnley
West Ham,1.83,0.8,Watford
Manchester City,2.59,0.11,Leicester
Huddersfield,2.57,0.43,Bournemouth
Newcastle,0.68,1.72,Manchester United
Southampton,0.85,2.36,Liverpool
Chelsea,2.38,0.63,West Bromwich Albion
Leicester,1.12,0.17,Stoke
Bournemouth,1.21,4.24,Newcastle United
Brighton,3.29,0.44,Swansea
West Bromwich Albion,1.5,1.18,Huddersfield
Liverpool,3.92,0.34,West Ham
Burnley,1.28,0.66,Southampton
Watford,0.61,0.67,Everton
Crystal Palace,0.18,1.65,Tottenham
Manchester United,1.3,1.69,Chelsea
Arsenal,1.3,1.93,Manchester City
Burnley,2.34,1.8,Everton
Leicester,2.98,1.4,Bournemouth
Southampton,0.98,0.39,Stoke
Swansea,2.31,0.5,West Ham
Tottenham,1.64,0.14,Huddersfield
Watford,1.24,1.09,West Bromwich Albion
Liverpool,1.57,0.26,Newcastle United
Brighton,1.48,0.8,Arsenal
Manchester City,0.95,0.12,Chelsea
Crystal Palace,0.74,1.25,Manchester United
Manchester United,0.85,0.78,Liverpool
Everton,1.69,0.32,Brighton
Huddersfield,1.39,0,Swansea
Newcastle United,1.36,0.5,Southampton
West Bromwich Albion,0.36,1.87,Leicester
West Ham,0.73,1.42,Burnley
Chelsea,3.88,1.14,Crystal Palace
Arsenal,2.38,1.55,Watford
Bournemouth,1.17,2.53,Tottenham
Stoke,0.16,1.65,Manchester City
