Home Team,Home xG,Away xG,Away Team
Watford,1.16,0.25,Hull
West Bromwich Albion,0.61,2.48,Manchester City
Middlesbrough,1.44,1.55,Bournemouth
Manchester United,2.72,0.33,Burnley
Crystal Palace,0.5,2.26,Liverpool
Everton,2.03,0.95,West Ham
Southampton,0.42,1.15,Chelsea
Stoke,2.16,1.1,Swansea
Bournemouth,2.65,1.14,Sunderland
Burnley,2.31,2.06,Crystal Palace
Manchester City,2.5,0.21,Middlesbrough
West Ham,0.4,0.81,Stoke
Chelsea,2,0.01,Everton
Arsenal,0.68,1.2,Tottenham
Liverpool,4.25,0.77,Watford
Hull,0.56,2.03,Southampton
Swansea,0.51,1,Manchester United
Leicester,0.63,0.78,West Bromwich Albion
Manchester United,0.51,0.58,Arsenal
Southampton,0.09,1.69,Liverpool
Stoke,1.6,1.24,Bournemouth
Sunderland,0.95,1.27,Hull
Watford,0.72,1.2,Leicester
Everton,1.55,1.07,Swansea
Crystal Palace,0.44,1.39,Manchester City
Tottenham,2.57,1.81,West Ham
Middlesbrough,0.56,1.69,Chelsea
West Bromwich Albion,1.41,0.57,Burnley
Burnley,0.48,2.29,Manchester City
Hull,0.42,1.4,West Bromwich Albion
Swansea,3.55,2.3,Crystal Palace
Liverpool,2.02,0.29,Sunderland
Leicester,2.05,0.43,Middlesbrough
Chelsea,1.25,0.42,Tottenham
Watford,0.55,0.72,Stoke
Arsenal,2.87,2.05,Bournemouth
Southampton,2.81,0.62,Everton
Manchester United,1.45,0.75,West Ham
Manchester City,2.24,1.28,Chelsea
Crystal Palace,2.2,0.77,Southampton
Stoke,1.14,0.78,Burnley
Sunderland,1.44,1.15,Leicester
Tottenham,4.33,0.03,Swansea
West Bromwich Albion,1.18,1.49,Watford
West Ham,0.91,3.04,Arsenal
Bournemouth,3.08,1.27,Liverpool
Everton,1.65,0.54,Manchester United
Middlesbrough,1.95,0.22,Hull
Watford,1.49,1.1,Everton
Hull,2.17,1.5,Crystal Palace
Swansea,2.18,0.67,Sunderland
Arsenal,1.58,1.29,Stoke
Burnley,2.2,1.01,Bournemouth
Leicester,2.61,0.97,Manchester City
Chelsea,0.55,0.21,West Bromwich Albion
Manchester United,1.05,0.72,Tottenham
Southampton,1.73,0.53,Middlesbrough
Liverpool,1.79,0.65,West Ham
Bournemouth,0.66,1.68,Leicester
Everton,1.46,1.6,Arsenal
Middlesbrough,0.16,2.14,Liverpool
Sunderland,0.47,1.22,Chelsea
West Ham,2.35,1.08,Burnley
Crystal Palace,0.71,1.27,Manchester United
West Bromwich Albion,1.78,1.19,Swansea
Manchester City,1.62,0.5,Watford
Stoke,0.33,0.72,Southampton
Tottenham,2.86,0.58,Hull
Crystal Palace,0.36,0.82,Chelsea
Middlesbrough,1.72,0.6,Swansea
West Ham,1.92,1.13,Hull
Stoke,2.54,1.26,Leicester
Sunderland,1.14,1.08,Watford
West Bromwich Albion,0.6,1,Manchester United
Bournemouth,0.49,1.69,Southampton
Manchester City,1.52,0.61,Arsenal
Tottenham,1.51,1.22,Burnley
Everton,0.46,1.9,Liverpool
Watford,0.96,1.54,Crystal Palace
Swansea,0.95,3.49,West Ham
Manchester United,2.32,0.49,Sunderland
Leicester,0.38,1.26,Everton
Arsenal,2,0.69,West Bromwich Albion
Burnley,0.28,0.7,Middlesbrough
Chelsea,1.71,0.65,Bournemouth
Hull,0.35,2.22,Manchester City
Liverpool,1.67,0.4,Stoke
Southampton,0.4,1.61,Tottenham
Hull,0.86,1.28,Everton
Leicester,1.11,1.58,West Ham
Burnley,2.72,0.47,Sunderland
Chelsea,1.95,0.86,Stoke
Manchester United,2.55,0.64,Middlesbrough
Southampton,0.37,0.67,West Bromwich Albion
Swansea,0.52,2.44,Bournemouth
Liverpool,0.26,0.35,Manchester City
Watford,1.26,3.07,Tottenham
Arsenal,1.68,0.22,Crystal Palace
Middlesbrough,0.7,0.48,Leicester
Everton,2.35,1.01,Southampton
Manchester City,0.62,0.64,Burnley
West Bromwich Albion,0.88,0.99,Hull
Sunderland,1.92,2.33,Liverpool
West Ham,0.8,2.3,Manchester United
Bournemouth,1.56,1.13,Arsenal
Crystal Palace,0.33,1.19,Swansea
Stoke,2.07,0.51,Watford
Tottenham,1.01,0.91,Chelsea
Tottenham,2.66,0.17,West Bromwich Albion
Watford,0.84,0.33,Middlesbrough
Sunderland,1.14,1.24,Stoke
Swansea,0.49,2.36,Arsenal
Hull,1.19,1.43,Bournemouth
Burnley,0.46,0.97,Southampton
West Ham,1.72,1.07,Crystal Palace
Leicester,0.18,0.74,Chelsea
Everton,0.57,0.57,Manchester City
Manchester United,1.03,1.46,Liverpool
Liverpool,1.24,1.6,Swansea
Middlesbrough,0.96,2.66,West Ham
Bournemouth,1.15,1.09,Watford
Crystal Palace,0.46,0.95,Everton
Stoke,0.35,1.75,Manchester United
West Bromwich Albion,1.37,0.44,Sunderland
Manchester City,2.53,1.12,Tottenham
Southampton,2.5,0.94,Leicester
Arsenal,1.86,1.3,Burnley
Chelsea,1.47,0.31,Hull
Arsenal,1.08,1.01,Watford
Bournemouth,0.32,1.61,Crystal Palace
Burnley,1.84,0.78,Leicester
Middlesbrough,1.18,1.29,West Bromwich Albion
Sunderland,0.23,0.68,Tottenham
Swansea,0.76,0.91,Southampton
Liverpool,1.2,1.07,Chelsea
West Ham,0.49,2.67,Manchester City
Manchester United,1.48,0.4,Hull
Stoke,1.74,0.9,Everton
Chelsea,1.95,0.95,Arsenal
Crystal Palace,2.52,0.84,Sunderland
Everton,2.79,2.41,Bournemouth
Hull,1.89,1.14,Liverpool
Watford,1.66,1.48,Burnley
West Bromwich Albion,1.85,1.11,Stoke
Southampton,1.07,0.92,West Ham
Tottenham,2.1,0.5,Middlesbrough
Manchester City,3.37,0.11,Swansea
Leicester,0.49,1.99,Manchester United
Arsenal,3.78,0.47,Hull
Manchester United,2.63,0.64,Watford
Middlesbrough,0.65,0.83,Everton
Stoke,0.72,0.2,Crystal Palace
Sunderland,0.2,1.73,Southampton
West Ham,1.19,0.77,West Bromwich Albion
Liverpool,2.72,0.62,Tottenham
Burnley,0.91,0.8,Chelsea
Swansea,0.69,0.67,Leicester
Bournemouth,0.15,2.98,Manchester City
Chelsea,1.23,0.28,Swansea
Crystal Palace,0.81,0.83,Middlesbrough
Everton,1.7,0.51,Sunderland
Hull,1.59,0.47,Burnley
West Bromwich Albion,1.61,1.23,Bournemouth
Watford,1.22,1.56,West Ham
Tottenham,1.89,0.74,Stoke
Leicester,1.55,0.79,Liverpool
Leicester,1.81,1.12,Hull
Liverpool,2.72,0.73,Arsenal
Manchester United,2.55,0.82,Bournemouth
Stoke,3.02,0.27,Middlesbrough
Swansea,1.45,0.93,Burnley
Watford,1.4,1.35,Southampton
West Bromwich Albion,0.37,1.39,Crystal Palace
Sunderland,0.74,2.48,Manchester City
Tottenham,1.71,0.81,Everton
West Ham,0.45,2.02,Chelsea
Manchester City,1.3,0.34,Stoke
Bournemouth,3.73,1.25,West Ham
Everton,2.2,0.13,West Bromwich Albion
Hull,1.99,1.44,Swansea
Liverpool,1.02,0.83,Burnley
West Bromwich Albion,2.12,1.01,Arsenal
West Ham,2.36,2.17,Leicester
Sunderland,1.03,1.19,Burnley
Stoke,0.95,1.97,Chelsea
Everton,2.63,0.53,Hull
Crystal Palace,0.38,0.19,Watford
Bournemouth,1.01,0.38,Swansea
Tottenham,1.64,0.84,Southampton
Middlesbrough,1.09,2.51,Manchester United
Manchester City,2.58,1.94,Liverpool
Burnley,0.45,2.39,Tottenham
Chelsea,3.17,1.57,Crystal Palace
Hull,0.87,1.25,West Ham
Leicester,2.05,1.37,Stoke
Liverpool,0.63,1.44,Everton
Manchester United,0.99,0.2,West Bromwich Albion
Southampton,1,2.09,Bournemouth
Watford,1.96,0.35,Sunderland
Arsenal,0.74,1.4,Manchester City
Swansea,0.64,0.75,Middlesbrough
Burnley,0.35,1.18,Stoke
Watford,0.69,1.82,West Bromwich Albion
Leicester,0.93,0.7,Sunderland
Manchester United,1.67,0.59,Everton
Arsenal,2.17,0.3,West Ham
Hull,2.24,1.33,Middlesbrough
Swansea,0.87,2.24,Tottenham
Southampton,3.52,1.74,Crystal Palace
Chelsea,1.83,2.29,Manchester City
Liverpool,2.17,1.33,Bournemouth
Bournemouth,0.38,1.52,Chelsea
Stoke,2.14,1.02,Liverpool
Tottenham,1.19,0.37,Watford
West Bromwich Albion,2.05,0.91,Southampton
West Ham,1.21,0.31,Swansea
Middlesbrough,0.68,0.81,Burnley
Manchester City,2.4,0.36,Hull
Sunderland,0.98,1.69,Manchester United
Everton,2.65,0.84,Leicester
Crystal Palace,2.16,0.44,Arsenal
Southampton,0.62,2.74,Manchester City
Stoke,2.05,1.18,Hull
Sunderland,1.14,1.44,West Ham
Tottenham,3.46,0.21,Bournemouth
Watford,1.35,0.65,Swansea
Everton,1.69,1.15,Burnley
Crystal Palace,1.69,0.47,Leicester
Manchester United,0.81,0.13,Chelsea
West Bromwich Albion,0.59,1.3,Liverpool
Middlesbrough,1.72,1.07,Arsenal
Bournemouth,3.28,0.21,Middlesbrough
Hull,1.42,1.16,Watford
Swansea,0.48,1.7,Stoke
West Ham,0.68,0.1,Everton
Burnley,0.34,2.36,Manchester United
Liverpool,0.89,1.23,Crystal Palace
Chelsea,1.44,1.38,Southampton
Arsenal,0.41,0.6,Leicester
Middlesbrough,0.83,0.45,Sunderland
Crystal Palace,0.32,1.01,Tottenham
Manchester City,1.42,0.42,Manchester United
Crystal Palace,0.63,1.39,Burnley
Southampton,1.25,0.47,Hull
Stoke,1.36,0.65,West Ham
Sunderland,1.67,1.54,Bournemouth
West Bromwich Albion,0.81,0.57,Leicester
Everton,0.69,1.82,Chelsea
Manchester United,1.99,0.78,Swansea
Middlesbrough,1.21,3.11,Manchester City
Tottenham,3.54,0.59,Arsenal
Watford,0.45,0.56,Liverpool
West Ham,2.21,0.46,Tottenham
Bournemouth,1.35,2.3,Stoke
Burnley,1.09,0.83,West Bromwich Albion
Hull,1.23,1.96,Sunderland
Leicester,1.01,0.51,Watford
Manchester City,2.72,0.24,Crystal Palace
Swansea,2.09,0.27,Everton
Arsenal,1.04,0.58,Manchester United
Liverpool,1.36,0.18,Southampton
Chelsea,2.28,0.07,Middlesbrough
Southampton,1.25,1.36,Arsenal
Everton,1.13,1.55,Watford
West Bromwich Albion,0.53,1.77,Chelsea
Bournemouth,1.55,1.16,Burnley
Manchester City,1.99,1.63,Leicester
Middlesbrough,1.33,1.53,Southampton
Stoke,1.3,2.64,Arsenal
Sunderland,1.06,0.34,Swansea
Crystal Palace,2.73,0.52,Hull
Tottenham,2.12,1.04,Manchester United
West Ham,1.37,3.47,Liverpool
Chelsea,2.65,0.88,Watford
Arsenal,3.91,0.27,Sunderland
Manchester City,2.58,0.39,West Bromwich Albion
Southampton,1.67,0.46,Manchester United
Leicester,0.73,2.71,Tottenham
Arsenal,3.36,1.91,Everton
Burnley,1.71,1.73,West Ham
Chelsea,2.75,0.69,Sunderland
Hull,0.81,3.89,Tottenham
Leicester,2.47,0.92,Bournemouth
Liverpool,2.18,0.9,Middlesbrough
Manchester United,1.04,0.3,Crystal Palace
Southampton,1.37,0.98,Stoke
Swansea,1.75,1.61,West Bromwich Albion
Watford,0.83,3.27,Manchester City
