Home Team,Home xG,Away xG,Away Team
Hull,0.76,2.67,Leicester
Crystal Palace,0.99,0.69,West Bromwich Albion
Everton,0.79,1.14,Tottenham
Burnley,1.05,1.75,Swansea
Middlesbrough,1.81,0.49,Stoke
Southampton,0.94,0.18,Watford
Manchester City,1.95,1.1,Sunderland
Bournemouth,0.52,2.1,Manchester United
Arsenal,1.18,1.68,Liverpool
Chelsea,1.46,0.45,West Ham
Manchester United,1.37,0.61,Southampton
Stoke,1.31,2.17,Manchester City
Burnley,0.2,0.94,Liverpool
Swansea,1.14,2.3,Hull
Tottenham,2.35,0.36,Crystal Palace
Watford,0.8,1.77,Chelsea
West Bromwich Albion,2.02,1.85,Everton
Leicester,0.55,0.52,Arsenal
Sunderland,1.46,0.85,Middlesbrough
West Ham,1.69,0.4,Bournemouth
Tottenham,0.59,1.93,Liverpool
Watford,1.1,2.04,Arsenal
Leicester,2.85,0.33,Swansea
Southampton,0.61,1.39,Sunderland
Chelsea,2.66,0.18,Burnley
Crystal Palace,2.71,0.97,Bournemouth
Everton,2.32,0.19,Stoke
Hull,0.27,2.49,Manchester United
West Bromwich Albion,0.7,0.4,Middlesbrough
Manchester City,3.24,1.08,West Ham
Manchester United,1.01,1.94,Manchester City
Middlesbrough,0.61,1.12,Crystal Palace
Stoke,1.02,2.77,Tottenham
Arsenal,1.89,1.19,Southampton
Bournemouth,0.99,1.48,West Bromwich Albion
Burnley,0.45,0.91,Hull
West Ham,1.33,1.86,Watford
Liverpool,2.77,1.23,Leicester
Swansea,1.23,2.2,Chelsea
Sunderland,1.05,2.85,Everton
Chelsea,1.16,1.42,Liverpool
Hull,0.97,3.69,Arsenal
Leicester,1.99,0.46,Burnley
Manchester City,3.39,0.39,Bournemouth
West Bromwich Albion,1.96,2.37,West Ham
Everton,1.17,0.18,Middlesbrough
Watford,1.75,1.41,Manchester United
Crystal Palace,1.31,1.2,Stoke
Southampton,2.15,0.49,Swansea
Tottenham,2.53,0.96,Sunderland
Manchester United,2.46,0.29,Leicester
Middlesbrough,0.36,1.43,Tottenham
Stoke,0.98,0.27,West Bromwich Albion
Sunderland,1.51,1.79,Crystal Palace
Swansea,1.11,2.58,Manchester City
Liverpool,4.65,0.16,Hull
Bournemouth,0.69,1.21,Everton
Arsenal,1.66,0.61,Chelsea
West Ham,0.7,3.01,Southampton
Burnley,0.57,0.78,Watford
Everton,1.15,0.48,Crystal Palace
Swansea,2.66,2.02,Liverpool
Sunderland,1.19,0.88,West Bromwich Albion
Hull,0.28,2.04,Chelsea
Watford,1.24,1.36,Bournemouth
West Ham,0.89,0.85,Middlesbrough
Manchester United,2.84,1.2,Stoke
Leicester,0.45,0.92,Southampton
Tottenham,1.7,0.91,Manchester City
Burnley,0.61,1.85,Arsenal
Chelsea,3.12,0.18,Leicester
Arsenal,3.51,1.76,Swansea
Bournemouth,2.96,0.39,Hull
Manchester City,2.69,0.14,Everton
Stoke,2.37,0.59,Sunderland
West Bromwich Albion,1.33,1.33,Tottenham
Crystal Palace,1.95,0.87,West Ham
Middlesbrough,0.53,0.09,Watford
Southampton,4.21,1.03,Burnley
Liverpool,0.27,0.54,Manchester United
Bournemouth,0.52,0.75,Tottenham
West Ham,1.2,0.81,Sunderland
Swansea,1.33,0.48,Watford
Leicester,1.71,1.68,Crystal Palace
Hull,0.7,1.04,Stoke
Burnley,0.95,0.76,Everton
Arsenal,0.71,1.71,Middlesbrough
Liverpool,2.31,0.69,West Bromwich Albion
Manchester City,1.16,0.56,Southampton
Chelsea,2.25,0.74,Manchester United
Sunderland,0.85,2.64,Arsenal
Tottenham,1.7,0.74,Leicester
